New accounts clerks,18,-,-,-,-
Order clerks,106,75.6,12.3,10.0,25.8
Human resources assistants except payroll and timekeeping,84,79.1,13.7,6.0,16.8
Receptionists and information clerks,1196,78.6,12.8,3.5,22.5
Reservation and transportation ticket agents and travel clerks,123,69.7,19.9,7.8,19.1
Information and record clerks all other,92,68.2,17.5,4.6,18.4
Cargo and freight agents,26,-,-,-,-
Couriers and messengers,929,67.6,23.7,5.1,21.7
Public safety telecommunicators,76,77.0,17.5,2.0,7.2
Dispatchers except police fire and ambulance,184,74.4,14.3,4.5,19.2
Meter readers utilities,14,-,-,-,-
Postal service clerks,96,55.0,36.0,2.9,8.4
Postal service mail carriers,302,69.3,21.9,5.7,13.3
Postal service mail sorters processors and processing machine operators,65,35.8,48.4,6.1,11.8
Production planning and expediting clerks,212,81.7,6.5,7.2,16.1
Shipping receiving and inventory clerks,621,77.8,12.5,5.5,29.1
Weighers measurers checkers and samplers recordkeeping,67,75.6,15.1,0.0,32.5
Executive secretaries and executive administrative assistants,210,73.6,18.5,4.1,15.0
Legal secretaries and administrative assistants,54,71.3,18.4,6.1,15.0
Medical secretaries and administrative assistants,103,84.4,8.2,5.1,18.7
Secretaries and administrative assistants except legal medical and executive,1841,82.9,11.1,3.1,14.8
Data entry keyers,224,70.1,16.1,7.6,17.6
Word processors and typists,46,-,-,-,-
Desktop publishers,3,-,-,-,-
Insurance claims and policy processing clerks,308,72.3,19.2,6.1,17.9
Mail clerks and mail machine operators except postal service,44,-,-,-,-
Office clerks general,1274,76.6,13.6,6.4,20.5
Office machine operators except computer,29,-,-,-,-
Proofreaders and copy markers,7,-,-,-,-
Statistical assistants,16,-,-,-,-
Office and administrative support workers all other,447,77.7,12.0,5.2,18.6
Natural resources construction and maintenance occupations,14326,86.1,7.8,1.8,34.5
Farming fishing and forestry occupations,987,89.7,5.1,0.9,44.6
First-line supervisors of farming fishing and forestry workers,70,91.6,4.3,0.2,37.9
Agricultural inspectors,26,-,-,-,-
Animal breeders,15,-,-,-,-
Graders and sorters agricultural products,45,-,-,-,-
Miscellaneous agricultural workers,731,91.2,3.9,0.8,49.2
Fishing and hunting workers,26,-,-,-,-
Forest and conservation workers,16,-,-,-,-
Logging workers,58,94.0,3.4,0.0,13.6
Construction and extraction occupations,8457,86.8,7.2,1.3,40.8
First-line supervisors of construction trades and extraction workers,702,89.1,4.8,1.4,26.6
Boilermakers,13,-,-,-,-
Brickmasons blockmasons and stonemasons,117,93.4,1.1,0.0,50.5
Carpenters,1275,89.0,5.2,1.3,44.2
Carpet floor and tile installers and finishers,114,88.9,1.5,1.5,61.1
Cement masons concrete finishers and terrazzo workers,56,89.4,1.9,0.0,50.5
Construction laborers,2223,84.0,9.1,1.3,51.9
Construction equipment operators,395,89.8,5.7,0.7,20.7
Drywall installers ceiling tile installers and tapers,162,86.8,7.9,0.9,74.3
Electricians,959,87.3,6.7,1.6,24.6
Glaziers,39,-,-,-,-
Insulation workers,59,83.8,7.5,0.4,45.6
Painters and paperhangers,561,90.2,5.5,0.4,60.6
Pipelayers,54,84.6,7.8,0.0,49.7
Plumbers pipefitters and steamfitters,635,84.7,10.1,2.2,28.3
Plasterers and stucco masons,21,-,-,-,-
Reinforcing iron and rebar workers,11,-,-,-,-
Roofers,235,88.5,5.5,0.5,63.1
Sheet metal workers,127,85.5,9.9,1.5,16.9
Structural iron and steel workers,42,-,-,-,-
Solar photovoltaic installers,20,-,-,-,-
Helpers construction trades,64,88.4,5.3,1.3,51.8
Construction and building inspectors,115,80.9,9.4,5.4,20.6
Elevator and escalator installers and repairers,46,-,-,-,-
Fence erectors,40,-,-,-,-
Hazardous materials removal workers,25,-,-,-,-
Highway maintenance workers,93,84.3,11.0,2.6,20.8
Rail-track laying and maintenance equipment operators,22,-,-,-,-
Septic tank servicers and sewer pipe cleaners,7,-,-,-,-
Miscellaneous construction and related workers,65,94.9,4.1,0.0,42.4
Derrick rotary drill and service unit operators oil and gas,24,-,-,-,-
Excavating and loading machine and dragline operators surface mining,10,-,-,-,-
Earth drillers except oil and gas,25,-,-,-,-
Explosives workers ordnance handling experts and blasters,8,-,-,-,-
Underground mining machine operators,38,-,-,-,-
Roustabouts oil and gas,8,-,-,-,-
Other extraction workers,47,-,-,-,-
Installation maintenance and repair occupations,4881,84.0,9.4,2.9,21.6
First-line supervisors of mechanics installers and repairers,239,90.3,5.6,1.8,15.2
Computer automated teller and office machine repairers,134,71.5,14.7,10.8,9.3
Radio and telecommunications equipment installers and repairers,116,82.6,11.5,3.0,18.2
Avionics technicians,12,-,-,-,-
Electric motor power tool and related repairers,22,-,-,-,-
Electrical and electronics installers and repairers transportation equipment,1,-,-,-,-
Electrical and electronics repairers industrial and utility,6,-,-,-,-
Electronic equipment installers and repairers motor vehicles,5,-,-,-,-
Audiovisual equipment installers and repairers,26,-,-,-,-
Security and fire alarm systems installers,48,-,-,-,-
Aircraft mechanics and service technicians,124,83.4,9.5,5.0,21.1
Automotive body and related repairers,127,85.9,9.6,1.8,21.6
Automotive glass installers and repairers,24,-,-,-,-
Automotive service technicians and mechanics,933,82.9,8.1,3.5,28.7
Bus and truck mechanics and diesel engine specialists,334,87.4,6.9,1.8,20.6
Heavy vehicle and mobile equipment service technicians and mechanics,201,94.7,3.7,0.2,19.3
Small engine mechanics,41,-,-,-,-
Miscellaneous vehicle and mobile equipment mechanics installers and repairers,90,93.9,4.5,0.1,22.7
Control and valve installers and repairers,26,-,-,-,-
Heating air conditioning and refrigeration mechanics and installers,546,86.1,9.5,0.7,23.1
Home appliance repairers,41,-,-,-,-
Industrial and refractory machinery mechanics,416,81.7,9.9,5.5,18.9
Maintenance and repair workers general,672,79.6,12.2,3.6,24.0
Maintenance workers machinery,22,-,-,-,-
Millwrights,42,-,-,-,-
Electrical power-line installers and repairers,130,94.6,4.1,0.0,13.6
Telecommunications line installers and repairers,160,77.2,19.2,0.6,12.9
Precision instrument and equipment repairers,46,-,-,-,-
Wind turbine service technicians,7,-,-,-,-
Coin vending and amusement machine servicers and repairers,33,-,-,-,-
Commercial divers,1,-,-,-,-
Locksmiths and safe repairers,29,-,-,-,-
Manufactured building and mobile home installers,5,-,-,-,-
Riggers,14,-,-,-,-
Helpers--installation maintenance and repair workers,18,-,-,-,-
Other installation maintenance and repair workers,190,85.0,6.9,3.6,33.5
Production transportation and material moving occupations,19986,73.2,17.8,4.8,25.1
Production occupations,8280,76.1,14.7,5.4,25.6
First-line supervisors of production and operating workers,776,76.7,14.0,6.4,18.5
Aircraft structure surfaces rigging and systems assemblers,10,-,-,-,-
Electrical electronics and electromechanical assemblers,114,60.0,24.8,14.9,24.9
Engine and other machine assemblers,15,-,-,-,-
Structural metal fabricators and fitters,22,-,-,-,-
Other assemblers and fabricators,1048,67.8,21.3,7.3,25.5
Bakers,233,80.2,7.4,5.6,37.1
Butchers and other meat poultry and fish processing workers,243,72.0,16.3,7.3,36.6
Food and tobacco roasting baking and drying machine operators and tenders,8,-,-,-,-
Food batchmakers,79,80.7,14.7,3.6,32.3
Food cooking machine operators and tenders,10,-,-,-,-
Food processing workers all other,140,69.6,22.1,3.1,39.9
Computer numerically controlled tool operators and programmers,100,82.2,6.8,6.1,23.3
Forming machine setters operators and tenders metal and plastic,34,-,-,-,-
Cutting punching and press machine setters operators and tenders metal and plastic,74,88.9,8.2,0.7,21.7
Grinding lapping polishing and buffing machine tool setters operators and tenders metal and plastic,38,-,-,-,-
Other machine tool setters operators and tenders metal and plastic,6,-,-,-,-
Machinists,307,82.9,6.0,7.5,13.3
Metal furnace operators tenders pourers and casters,16,-,-,-,-
Model makers and patternmakers metal and plastic,4,-,-,-,-
Molders and molding machine setters operators and tenders metal and plastic,29,-,-,-,-
Tool and die makers,39,-,-,-,-
Welding soldering and brazing workers,559,82.6,11.1,2.3,26.4
Other metal workers and plastic workers,361,73.8,16.0,7.5,21.1
Prepress technicians and workers,15,-,-,-,-
Printing press operators,148,80.9,14.7,3.8,22.0
Print binding and finishing workers,13,-,-,-,-
Laundry and dry-cleaning workers,121,76.6,13.0,5.3,44.4
Pressers textile garment and related materials,28,-,-,-,-
Sewing machine operators,129,82.7,10.9,4.4,41.1
Shoe and leather workers,13,-,-,-,-
Tailors dressmakers and sewers,51,79.9,6.3,12.5,28.6
Textile machine setters operators and tenders,21,-,-,-,-
Upholsterers,17,-,-,-,-
Other textile apparel and furnishings workers,14,-,-,-,-
Cabinetmakers and bench carpenters,60,91.6,3.3,0.7,16.4
Furniture finishers,16,-,-,-,-
Sawing machine setters operators and tenders wood,23,-,-,-,-
Woodworking machine setters operators and tenders except sawing,28,-,-,-,-
Other woodworkers,27,-,-,-,-
Power plant operators distributors and dispatchers,46,-,-,-,-
Stationary engineers and boiler operators,73,83.5,11.2,3.1,16.5
Water and wastewater treatment plant and system operators,89,84.5,11.5,0.0,12.7
Miscellaneous plant and system operators,37,-,-,-,-
Chemical processing machine setters operators and tenders,45,-,-,-,-
Crushing grinding polishing mixing and blending workers,87,70.8,14.8,6.1,24.1
Cutting workers,56,74.5,16.5,5.2,30.2
Extruding forming pressing and compacting machine setters operators and tenders,14,-,-,-,-
Furnace kiln oven drier and kettle operators and tenders,10,-,-,-,-
Inspectors testers sorters samplers and weighers,793,74.5,13.5,6.9,17.8
Jewelers and precious stone and metal workers,58,77.8,4.9,10.8,29.3
Dental and ophthalmic laboratory technicians and medical appliance technicians,76,85.0,3.8,8.7,17.4
Packaging and filling machine operators and tenders,301,67.4,24.5,4.6,48.4
Painting workers,142,80.4,13.8,2.7,36.2
Photographic process workers and processing machine operators,30,-,-,-,-
Adhesive bonding machine operators and tenders,10,-,-,-,-
Etchers and engravers,8,-,-,-,-
Molders shapers and casters except metal and plastic,32,-,-,-,-
Paper goods machine setters operators and tenders,15,-,-,-,-
Tire builders,9,-,-,-,-
Helpers--production workers,68,83.5,11.2,3.3,30.9
Other production equipment operators and tenders,8,-,-,-,-
Other production workers,1280,75.1,16.8,4.1,28.1
Transportation and material moving occupations,11706,71.1,20.1,4.4,24.8
Supervisors of transportation and material moving workers,349,67.6,19.6,8.6,19.3
Aircraft pilots and flight engineers,211,92.4,3.6,2.7,10.7
Air traffic controllers and airfield operations specialists,39,-,-,-,-
Flight attendants,115,79.7,16.3,3.7,20.0
Ambulance drivers and attendants except emergency medical technicians,16,-,-,-,-
Bus drivers school,218,72.7,23.7,1.1,14.8
Bus drivers transit and intercity,284,61.4,32.5,3.1,19.4
Driver/sales workers and truck drivers,3551,72.4,20.5,3.5,24.1
Shuttle drivers and chauffeurs,78,55.9,30.0,9.6,14.2
Taxi drivers,456,52.5,24.9,19.5,23.9
Motor vehicle operators all other,212,61.9,27.4,4.9,19.1
Locomotive engineers and operators,44,-,-,-,-
Railroad conductors and yardmasters,48,-,-,-,-
Other rail transportation workers,24,-,-,-,-
Sailors and marine oilers,17,-,-,-,-
Ship and boat captains and operators,42,-,-,-,-
Ship engineers,1,-,-,-,-
Parking attendants,61,66.6,22.6,9.3,41.8
